feature,weight,normalized_weight
const,-4.394165342251264,-31.20428976767854
age_below_65,-0.8612091121245233,-6.115704938751968
female_sex,-0.30448607432202235,-2.1622471967564834
age_between_65_and_74,-0.1408192711632472,-1.0
diabetes_complicated_elixhauser,0.0,0.0
congestive_heart_failure_elixhauser,0.0,0.0
age_above_74,0.16886665990738514,1.1991729435357148
hypertension_uncomplicated_elixhauser,0.2402744576068591,1.7062611929607046
diabetes_uncomplicated_elixhauser,0.31341761155616693,2.2256727290743616
hypertension_complicated_elixhauser,0.48758260980208007,3.462470766780503
vascular_disease_history,1.3384748516289555,9.504912506451658
STT_history,3.9201680528240037,27.838292447057768
