feature,weight,normalized_weight
Z37_ICD_history,-60.937357374209704,-467.870975883694
O42_ICD_history,-19.121333066600034,-146.81169560945912
J34_ICD_history,-17.681590253051887,-135.75749332333572
C44_ICD_history,-15.365587058827138,-117.97545088953815
J35_ICD_history,-11.561952361738497,-88.77152157072067
const,-4.316955962863594,-33.1451589997361
O26_ICD_history,-3.5295112803936863,-27.099236959185852
C43_ICD_history,-3.051696750982814,-23.43062447252939
H33_ICD_history,-2.976748444281543,-22.855178819679423
M23_ICD_history,-2.7313614393697625,-20.971121774799396
O09_ICD_history,-2.5599871689702285,-19.655327152449715
C69_ICD_history,-2.2762500778705883,-17.476821955843114
K35_ICD_history,-2.089270201959258,-16.04120904476747
H25_ICD_history,-2.066872127781064,-15.86923885644253
M51_ICD_history,-2.037946768713076,-15.647152823209764
age_below_65,-0.7849373653059558,-6.026671108463636
diabetes_complicated_elixhauser,-0.3000567353143191,-2.303805803554612
female_sex,-0.1850432955510002,-1.420744039465398
age_between_65_and_74,-0.17236694150643642,-1.3234162524880886
congestive_heart_failure_elixhauser,0.0,0.0
hypertension_uncomplicated_elixhauser,0.0,0.0
diabetes_uncomplicated_elixhauser,0.0,0.0
hypertension_complicated_elixhauser,0.13024393586097946,1.0
age_above_74,0.20692507679781322,1.5887501819561267
vascular_disease_history,1.5056671769111314,11.560362998537293
STT_history,2.7410864224317457,21.045789228586756
I63_ICD_history,3.008213179825029,23.096761933207805
