feature,weight,normalized_weight
blood_loss_anemia_elixhauser,-33.6492068403578,-500.37435623799166
O09_ICD_history,-27.934871991888162,-415.4003883612228
J34_ICD_history,-16.798433404693974,-249.79802170549897
psychoses_elixhauser,-15.148927355530889,-225.2693446589206
C44_ICD_history,-15.092704330208143,-224.4332904768684
O26_ICD_history,-14.235530479548403,-211.68684400807706
H25_ICD_history,-13.680940821415486,-203.43992025498346
H26_ICD_history,-13.625704211891621,-202.61853438807728
M51_ICD_history,-12.596542774943323,-187.31457807430357
H35_ICD_history,-11.352936152047024,-168.82175397008993
H40_ICD_history,-10.249720864896098,-152.41659346455376
const,-7.055745744226743,-104.92117247506764
H33_ICD_history,-3.387260283153994,-50.36963253353388
S02_ICD_history,-2.6333580885725927,-39.15886827778816
S82_ICD_history,-2.155685133747277,-32.05572024826761
rheumatoid_arthritis/collagen_vascular_diseases_elixhauser,-1.9777204610123886,-29.409329235983126
S52_ICD_history,-1.375675462191632,-20.45672954647332
alcohol_abuse_elixhauser,-1.3130750737599168,-19.525841956451462
D25_ICD_history,-1.227949866049386,-18.260003174281543
depression_elixhauser,-1.0623563333085408,-15.797574929375722
diabetes_complicated_elixhauser,-1.0369181408641213,-15.419300956125086
valvular_disease_elixhauser,-0.9960234881468831,-14.811184526396287
other_neurological_disorders_elixhauser,-0.9181972737916412,-13.65388408566976
diabetes_uncomplicated_elixhauser,-0.7924775021671959,-11.78439128925946
hypertension_complicated_elixhauser,-0.751605010192463,-11.17660439678595
hypothyroidism_elixhauser,-0.6240788850298103,-9.280250551522197
lymphoma_elixhauser,-0.6217350196265472,-9.24539653110411
deficiency_anemia_elixhauser,-0.549890159501053,-8.17704072096994
solid_tumor_without_metastasis_elixhauser,-0.4802169898187699,-7.140978635101705
renal_failure_elixhauser,-0.45701064512364153,-6.795892944299184
congestive_heart_failure_elixhauser,-0.35953933882727407,-5.346463768416642
hypertension_uncomplicated_elixhauser,-0.3169849891813812,-4.713667120037645
peptic_ulcer_disease_excluding_bleeding_elixhauser,-0.2966495461956553,-4.411272646341076
pulmonary_circulation_disorders_elixhauser,-0.26618418540411304,-3.9582430885880884
paralysis_elixhauser,-0.19875977706308787,-2.9556207956339398
obesity_elixhauser,-0.1807883408633661,-2.6883798510918933
chronic_pulmonary_disease_elixhauser,-0.15288527818015238,-2.2734524772188234
liver_disease_elixhauser,-0.10843046375733119,-1.612395316078855
coagulopathy_elixhauser,-0.10711382404588514,-1.5928164668317448
peripheral_vascular_disorders_elixhauser,-0.06724806421605131,-1.0
cardiac_arrhythmias_elixhauser,0.0,0.0
metastatic_cancer_elixhauser,0.0,0.0
drug_abuse_elixhauser,0.0,0.0
fluid_and_electrolyte_disorders_elixhauser,0.0,0.0
weight_loss_elixhauser,0.1390149738129912,2.067196661101956
U69_ICD_history,0.2990062136551925,4.4463170373880185
aids/hiv_elixhauser,0.5242154090289093,7.795249054972579
expanded_elixhauser,0.6685305822207962,9.94126135843812
